postcode,Avg_Price,MAE,Median_Accuracy
SE1 9AN,448500000.0,443226325.4726147,1.1758471632966092
E1 8EP,421364142.0,419956429.1125,0.33408464251806436
EC2V 7PG,411500000.0,397035554.38,3.5150536136087567
W1S 2UD,366180000.0,357219679.68853897,2.4469715198702886
WC1B 4JB,365500000.0,346913287.38543165,5.305522709122478
SW1A 2EU,325169089.0,318731070.8431587,1.9798985741972785
SW6 2QH,315000000.0,312838068.4082851,0.686327489433296
W1S 2UB,305211030.0,296250709.68853897,2.9357786681107285
EC4V 5AJ,302401851.0,295264561.86011964,2.3602002157984003
E16 2QQ,296280000.0,289010565.6896044,2.45356902605495
W1J 7BT,287340503.5,271506113.45097286,43.381294619703255
WC1N 3PA,286000000.0,266329747.49383193,6.877710666492334
WC2N 6HT,281206774.0,262333566.1157472,6.71150542207522
E14 5HU,262890000.0,247027073.2107954,6.034054847732733
SE1 9LS,255000000.0,246006315.29704762,3.5269351776283884
EC4V 5AE,238967500.0,226746225.3257289,6.019076105590926
SW1Y 4PD,250100000.0,224534581.0962646,10.222078730002153
SW7 1AY,210000000.0,201648295.3593189,3.9770022098481377
EC1A 7AJ,209550000.0,197888167.27735403,5.565179061152932
W8 5JN,194800000.0,189000290.33205986,2.977263689907673
E1 8QS,185000000.0,183674044.49819046,0.7167327036808331
SW3 3AL,186000000.0,183082997.80304828,1.5682807510493149
NW1 3AN,180000000.0,179304599.3799588,0.3863336778006641
E1 8FA,180500000.0,178855411.71331286,0.9111292447020105
W1F 8HX,185837186.0,175711765.2936521,5.4485439240066285
SW11 7BW,177445000.0,174204120.9221745,1.8264132986702748
W1S 4JX,178000000.0,166362903.5908836,6.537694611863145
EC1V 9BW,181500000.0,165505799.01855862,8.812231945697718
W3 6EE,166180000.0,165056453.37086502,0.6761021958930087
EC4A 4AB,191200000.0,159468090.6009978,16.59618692416433
W6 7AP,159477751.0,158921170.76372796,0.3490018092066265
SW6 2YA,158100000.0,156640660.37233967,31.87431639495542
W1S 1HU,165500000.0,156135519.51720276,5.658296364227937
SW1V 1LH,175000000.0,154993296.47127557,11.43240201641396
E1 1LJ,171030000.0,154731295.70833334,9.52973413533688
HA9 0NT,157100000.0,154485535.78603184,1.6642038281146796
EC2M 4RB,173000000.0,153897950.78,11.041646947976886
WC1A 1LW,172500000.0,152829747.49383193,11.403044931111921
EC1N 8JS,162287743.0,151773917.2442956,6.47850882719122
EC2A 2BS,153450000.0,146950932.62733334,4.235299688932329
WC1V 6NP,154000000.0,142740509.27459148,7.3113576139016345
E16 1AA,150500000.0,142723066.3590909,5.167397768045916
SW1P 2AW,156500000.0,142109189.77499244,9.195405894573526
W1S 2UG,149300000.0,139080677.87643638,6.844823927370129
W1K 5JF,146970000.0,135008413.86538473,8.13879440335802
SE1 9LT,136864000.0,134765084.00761905,1.533577852745026
EC3N 2BQ,152706477.6,133499734.556,9.05138863920672
W1S 2UF,156730441.5,133279213.47861652,14.595333688041087
SW1H 9BT,139480000.0,131928389.01450582,5.414117425791645
SW1A 1LD,145500000.0,131732275.9128011,9.462353324535314
W1S 3ER,141000000.0,130874579.2936521,7.181149437126166
E16 4ES,132743018.0,130008676.96228571,2.0598755994189304
UB11 1FH,143650000.0,129517243.17966667,9.838327059055572
E1 8GP,134627111.5,128355541.38494737,5.981815964662033
W1J 9HB,132250000.0,125430574.79645903,5.156465182261599
E14 3BT,125000000.0,123727900.39342856,1.01767968525715
EC4M 7DX,133549187.0,123654730.21185063,7.4088483879346825
EC3N 3EL,11400000.0,122689965.99666668,0.0
WC2B 6AH,133912398.0,121364598.12423074,9.37015546220691
W1S 1DG,134700000.0,121271523.05764586,9.969173676580652
EC3N 3AX,30650000.0,121260300.68833336,0.0
EC1Y 1AX,150000000.0,115819272.87729603,22.78715141513598
W1U 7BW,120000000.0,114863121.01731917,4.280732485567356
W1U 7WH,120000000.0,114863121.01731917,4.280732485567356
W1U 7DL,120000000.0,114863121.01731917,4.280732485567356
WC2A 1JA,121254435.0,114594275.06503047,5.49271450151042
EC3A 7BD,141063596.0,111356848.76380952,21.05911665274043
W1B 5SG,115000000.0,110579341.32056785,3.844051025593174
SW1A 2EJ,127665000.0,109028673.56,14.597835303332943
NW10 7XT,108000000.0,106800342.61843693,1.1107938718176484
W1D 3QW,117450000.0,106270623.16656181,9.51841365128837
EC2A 4NW,120000000.0,106253264.44,11.455612966666678
