postcode,Avg_Price,MAE,Median_Accuracy
SE1 9AN,448500000.0,441454170.89758503,1.5709763884983232
E1 8EP,421364142.0,415941134.48658305,1.2870121049400893
EC2V 7PG,411500000.0,395574482.4603003,3.870113618396033
W1S 2UD,366180000.0,361062480.5453321,1.3975420434398131
WC1B 4JB,365500000.0,347658877.35122055,5.0895655305122744
SW6 2QH,315000000.0,311957072.9473618,0.9660085881391041
SW1A 2EU,325169089.0,309349812.8148153,4.86493849517926
W1S 2UB,305211030.0,300093510.5453321,1.6767151091059702
EC4V 5AJ,302401851.0,298570332.4616028,1.2670287981792825
E16 2QQ,296280000.0,291849757.36276937,1.4952891309675493
W1J 7BT,287340503.5,269859103.4954977,46.43165107925743
WC1N 3PA,286000000.0,265194292.4091912,7.274722933849233
WC2N 6HT,281206774.0,261481457.63060343,7.014523899554632
E14 5HU,262890000.0,252538857.12841508,3.937442607776987
SE1 9LS,255000000.0,251392377.19991127,1.4147540392504823
SW1Y 4PD,250100000.0,231065524.8191472,7.6107457740315
EC4V 5AE,238967500.0,224166783.38145903,7.247211235883107
SW7 1AY,210000000.0,194327684.98009792,7.4630071523343275
EC1A 7AJ,209550000.0,191757223.93342847,8.490945390871644
W8 5JN,194800000.0,187895856.41960242,3.5442215505121055
SW3 3AL,186000000.0,179945006.33853763,3.255372936270078
E1 8QS,185000000.0,179929131.4797412,2.7410100109507027
NW1 3AN,180000000.0,178678162.67220005,0.7343540709999701
E1 8FA,180500000.0,177933117.91542435,1.4220953377150494
W1F 8HX,185837186.0,177161338.6686249,4.668520611033728
SW11 7BW,177445000.0,176145261.2630981,0.7324741395372598
EC1V 9BW,181500000.0,175355192.26536265,3.385568999800199
W1S 4JX,178000000.0,171733316.2275775,3.5206088609115085
EC4A 4AB,191200000.0,163898578.4279985,14.278986177825047
W3 6EE,166180000.0,162341987.02607626,2.30955167524597
E1 1LJ,171030000.0,162072704.99397698,5.237265395558097
W6 7AP,159477751.0,158013527.6570447,0.9181364383269397
W1S 1HU,165500000.0,156667499.5240624,5.33685829361788
SW6 2YA,158100000.0,156234936.8234164,29.116308482776777
HA9 0NT,157100000.0,156053516.588119,0.6661256600133783
EC2M 4RB,173000000.0,154985960.3518083,10.41273968103566
EC1N 8JS,162287743.0,153646517.82116315,5.32463205113207
SW1V 1LH,175000000.0,151906844.29360524,13.196088975082716
WC1A 1LW,172500000.0,151694292.4091912,12.06127976278772
E16 1AA,150500000.0,147634405.88717642,1.904049244401051
W1S 2UG,149300000.0,144526747.45632553,3.1970881069487405
EC2A 2BS,153450000.0,142357978.3161092,7.228427294813159
SW1P 2AW,156500000.0,141743093.5076804,9.429333221929468
WC1V 6NP,154000000.0,141652686.10259947,8.017736297013329
W1S 2UF,156730441.5,140447755.03500265,10.06344746969205
W1K 5JF,146970000.0,139980694.85122633,4.755599883495734
EC3N 2BQ,152706477.6,136591413.2815333,8.511645268236151
UB11 1FH,143650000.0,133209526.54600498,7.267994050814494
W1S 3ER,141000000.0,132324152.66862491,6.153083213741198
E16 4ES,132743018.0,129808146.15509395,2.2109425332683372
SW1A 1LD,145500000.0,129409922.83540253,11.058472278073864
SE1 9LT,136864000.0,129361467.61250886,5.481742742789294
E1 8GP,134627111.5,129217990.13051632,4.714207127310715
EC4M 7DX,133549187.0,129044500.34242181,3.373054347068532
W1J 9HB,132250000.0,128385055.77481528,2.9224531003287098
SW1H 9BT,139480000.0,127526230.33390294,8.57023922146334
W1S 1DG,134700000.0,121822806.25506136,9.559906269442195
E14 3BT,125000000.0,121818841.48553292,2.54492681157366
EC1Y 1AX,150000000.0,119099311.45204154,20.600459031972306
WC2B 6AH,133912398.0,119029298.41223335,11.11405651011242
WC2A 1JA,121254435.0,117828787.16396119,2.825173228541132
EC2V 6DT,140398876.0,113509776.49352397,19.13153945819363
W1U 7DL,120000000.0,112160923.26832946,6.53256394305879
W1U 7BW,120000000.0,112160923.26832946,6.53256394305879
W1U 7WH,120000000.0,112160923.26832946,6.53256394305879
W1K 6TF,116242841.0,111469588.45632553,4.106276569474474
W1B 5SG,115000000.0,108415939.33209896,5.725270146000909
WC2H 9EA,125735586.0,106744715.60488659,15.10381507675433
NW10 7XT,108000000.0,105558760.32953237,2.2604071022848444
WC2N 5HR,125000000.0,105274683.63060343,15.780253095517253
EC1M 4BL,113000000.0,103997718.09245157,7.966621157122503
N7 7JR,105800000.0,103635255.69825116,2.0460721188552355
W6 0PZ,109000000.0,103599781.26893641,4.9543291110675085
HA9 0NP,105583000.0,102413246.80963907,3.0021435177641536
EC3R 6BR,109000000.0,101797072.98443533,6.608189922536383
SW1A 2EJ,127665000.0,101658535.85485832,20.370864485287015
EC1V 3PS,102181666.66666667,101417833.22224681,14.4265874251129
W14 0AF,106791820.0,99883424.61908096,6.4765593766464065
W1D 3QW,117450000.0,99756052.1381807,15.065089707806976
NW1 2PL,105350000.0,99565754.41091351,5.491805007006789
TW14 8HA,101000000.0,99183024.0667073,1.7989860725670326
W1T 3NG,124910812.0,97118691.61367978,22.249571467296377
RM9 6RH,98800000.0,96688162.95962067,2.1374868829750255
EC2A 4NW,120000000.0,96649676.38608354,19.45860301159705
E14 4HD,99750000.0,94778064.48625171,4.984396505010807
WC2H 8JR,111579102.0,94657037.7090084,15.16597999775226
EC3A 7BD,141063596.0,94482744.4313944,33.021171223088345
SW1Y 4JY,109250000.0,94350370.98203488,25.282217808143944
WC1X 0DG,98100000.0,94096698.3694956,4.080837543837319
NW1 1AY,108150187.0,94034436.77378383,13.051988736936863
SW1A 2NS,107400000.0,93049679.8089955,13.361564423654087
SE1 0LL,100000000.0,92681627.83515555,7.318372164844462
E14 9XP,95000000.0,92638544.86283964,2.4857422496424846
UB8 1JG,96708651.0,92530538.11894137,4.320309339294397
WC2N 4AA,96450000.0,92446698.3694956,4.150649694665006
UB6 0GG,93750000.0,91661237.19951132,2.365109702576838
WC1B 4AR,94979440.0,91147921.46160284,4.03405046228653
NW1 3UP,92000000.0,90631064.78703523,1.4879730575704002
EC4R 0AT,120000000.0,89604000.59244248,25.329999506297924
NW1 1DB,95000000.0,88822309.00409237,6.502832627271189
WC1B 4NB,102076999.33333333,88720654.53763284,12.101266940601619
NW1 6JQ,94000000.0,88609199.81773466,5.734893810920568
W2 6BD,97250000.0,87165755.4467179,11.056911695210367
EC2A 2EA,87470826.0,85418669.93380956,2.3461034496123716
SW17 0NS,86075000.0,85123825.82371259,1.105052775239514
E15 2AL,90674931.0,85111095.21274188,6.136024285762204
SE1 8NZ,90926666.66666667,83933488.42871411,5.696991250293422
W1F 9US,88500000.0,83726747.45632553,5.393505699067191
W1F 0BH,86450000.0,83616710.04156598,3.277374156661665
EC2M 7EA,87214881.0,83565006.38357876,0.0
SE1 9DY,100000000.0,83507580.27552243,16.49241972447757
EC3N 1AH,91964723.0,82758057.16297026,5.940296428138751
KT6 7EQ,83874359.0,82103759.65919846,2.111013856811155
WC2N 5SA,92500000.0,82032398.84998044,11.31632556758872
E1 1LD,89709567.5,82011696.97411917,8.638596851560095
SW11 1SA,84666666.66666667,81924229.93984775,2.8737618739174167
WC2N 4LE,96450000.0,81693093.50768039,15.300058571611828
WC2H 7AD,96450000.0,81693093.50768039,15.300058571611828
WC2H 7LA,95370000.0,81088217.69247359,14.975130866652421
HA9 0SQ,82000000.0,80894396.42285368,1.3482970453003986
W1S 2SA,84000000.0,79996698.3694956,4.7658352744100085
WC2B 6LE,82803900.0,79830358.25619674,3.591064845741883
RM1 1LN,80224037.5,79622100.32310426,27.222203970850398
EC4A 1EN,93200000.0,79366517.58652197,14.84279228913951
EC4A 1DR,93200000.0,79366517.58652197,14.84279228913951
N7 0FN,81495000.0,79201559.85126328,2.8142096432133457
W2 1PG,85000000.0,79156430.05684201,6.874788168421162
W1W 5EE,82361684.0,78982436.44569795,4.102936450767629
SE1 0NA,87100000.0,78292969.13393988,10.111401683191872
W1S 2ER,95086435.0,78291408.78505988,17.66290450887145
EC1Y 8RQ,75309000.0,77770435.50476064,36.21365312388779
EC2M 5NS,97500000.0,77394322.31261556,20.62120788449687
RM1 3RT,77650000.0,77067546.43881771,0.750101173447888
EC2A 2BX,87470826.0,76855280.72644386,12.13609812436907
EC2V 7JU,103050000.0,76380431.23252933,25.88022199657513
TW14 8EE,77885506.0,76369359.27627857,1.5652548075683228
E1 1ES,78943450.0,76108929.88973548,3.590570351643521
WC2N 4EJ,108578306.0,76095944.21750715,37.64381482557049
SE26 4PU,75150000.0,74309914.77090831,1.1178778830228708
SW1Y 4LR,78000000.0,74158744.0823797,4.924687073872178
W2 1TT,79500000.0,72981355.91458347,8.199552308700035
WC2R 1BH,81345000.0,72494226.6752404,10.880537617259328
EC1N 6SA,90000000.0,72306052.1381807,19.65994206868811
EC1N 8SJ,90000000.0,72306052.1381807,19.65994206868811
EC1N 8QN,90000000.0,72306052.1381807,19.65994206868811
W1T 2AW,80750000.0,71917499.5240624,10.93808108475244
E20 1DB,70205519.75,71652841.81863241,0.6837931993926603
CR9 4AA,73000000.0,71458068.20419154,2.112235336723927
W1S 4RE,74000000.0,71166710.04156598,3.828770214100018
UB6 0AH,72850000.0,70713641.53882301,2.9325442157542767
WC2H 7JY,83900000.0,69618217.69247359,17.022386540555914
TW4 6JR,71327000.0,69545782.61654393,2.4972554340657354
RM7 7PN,70500000.0,69387668.07954903,1.5777757736893108
UB7 0JU,82574870.0,69232546.13921143,16.15785027671079
SW19 8YE,71500000.0,69185253.28927173,3.2374079870325545
E15 1AT,72350000.0,68577220.98670182,5.2146219948834585
NW10 7BQ,70760000.0,68366379.60696843,3.384668196211969
SW1H 9NB,86197501.0,68223527.20388216,20.852082238576557
EC4N 7BL,97987500.0,67600388.43798292,32.064042801801975
EC3V 9BQ,76500000.0,66958455.02004135,12.472607816939416
NW2 7AP,69000000.0,66917319.83669963,3.0183770482614136
W1T 2NU,80750000.0,66916517.58652197,17.131247570870627
SE1 4WW,83950000.0,66877033.436265044,20.337065591107745
E14 2EH,70000000.0,66822893.942017,4.538722939975713
TW6 2GW,89000000.0,66647216.20960646,25.825139753734575
W1S 4EF,69189235.0,66377012.45039969,4.064537712550674
EN3 4DP,67000000.0,66358320.187161215,0.957731063938482
EC2N 2HE,7750000.0,66202467.13243662,0.0
E1 2JL,75100000.0,66120801.76637995,11.956322548095926
KT2 7EQ,67943028.0,65978429.95977019,2.8915373630828043
NW7 1AA,67586207.0,65616176.581730545,2.9148409205290307
NW7 1AD,67586207.0,65616176.581730545,2.9148409205290307
WC1N 1HT,69165202.0,65484824.37135419,5.329439295941057
W11 4UL,66052500.0,65180744.29685973,37.97735148803157
HA9 0JD,65440000.0,64836748.73288156,1.2144648238930813
NW10 6SN,67000000.0,64578210.38952434,3.614611358918893
SW1Y 4SE,70768000.0,64214394.556944706,9.260690485890933
HA9 0JJ,65674000.0,64207114.03757327,2.2335870548873658
EC3R 8AJ,89939229.0,64000814.68615955,28.839934033502175
WC2B 4RD,84976000.0,63814176.55521087,24.9032943946398
SW1V 2SA,80000000.0,63077935.709008396,21.152580363739503
UB3 1DA,66100000.0,63050647.25984116,4.613241664385541
WC1N 1EX,85000000.0,62999904.281525515,25.882465551146453
WC1H 8AA,80745000.0,62963692.95843579,31.221870342887826
WC2N 4EA,72338918.25,62267384.850715086,15.300058571611828
SW19 1DD,64310000.0,62075016.885208756,3.4753274992866494
N7 9QE,63771732.0,61814972.42079888,45.24765408964566
CR0 4UQ,63150000.0,61784993.57207316,2.2282798948079687
EC1V 3RH,66995810.0,61600454.00602155,8.053273770372286
W1D 3QQ,78000000.0,61204973.785059884,21.532084890948866
NW1 1AS,62580000.0,61201370.2421273,2.2029877882273894
WC1B 5EG,74000000.0,61122806.255061366,17.401613168835993
W1J 8PE,69000000.0,60762646.45251697,11.93819354707685
NW5 2HB,61427347.44444445,60692017.06280756,84.5977493925028
SE16 3FX,63610000.0,60447183.51958824,4.972200094972109
TW6 3AF,74493000.0,60203520.5699408,19.1823116669475
EC4A 3AG,73800000.0,59966517.58652197,18.744556115823897
SE1 7NQ,66979565.0,59933735.89758504,10.519371247655855
EC2N 4BQ,3927939.0,59842614.25663617,0.0
DA17 6LJ,61266233.0,59752566.17980848,2.470637978005797
WC1V 7PU,76037656.0,59748743.66913155,21.422165263574726
W1S 4QR,62500000.0,59588438.459672354,4.658498464524229
EC2R 8DQ,70624741.0,59569597.65868452,15.65335771116736
W1B 3BE,63200000.0,59196698.36949559,6.334338022950021
TW9 4LT,62050000.0,59177482.24721469,4.62935979498036
DA8 1PQ,60600000.0,59078209.482795656,2.5112054739345666
EC3M 5BS,73500000.0,59039826.50078455,19.673705441109448
SW1W 0BY,75500000.0,58808625.09755451,22.107781327742373
W1W 5QA,63748909.0,58581794.72077702,6.395743592599111
W1S 1DQ,95500000.0,58327396.821334526,38.92419181012091
CR0 4XJ,59500000.0,58133380.12589606,2.2968401245444454
NW10 7NS,59000000.0,57351806.62620315,44.99184391621605
SE15 1LG,58250000.0,56919451.04789985,2.284204209613989
WC1V 6DF,80000000.0,56906844.293605246,28.866444632993435
W6 0LE,62754364.0,56904663.497037165,9.321583600086896
W2 6LG,62822611.0,56892762.12371932,9.396750798277573
EC1V 2QQ,58283989.0,56782998.391618565,2.575305215264919
WC2E 9NH,59500000.0,56107777.85074875,5.7012136962205915
SE7 8NJ,58000000.0,56074545.36963996,3.31974936268972
WC2N 5DA,68945000.0,55996368.822359234,18.781102585598333
W1F 7HR,73200000.0,55226026.20388215,24.55460901108995
WC2N 6AH,63770988.0,55129762.82116314,13.550401914483217
WC2N 4ER,65141666.666666664,54841870.589475006,15.300058571611828
EC2R 7HH,104000.0,54721025.20697022,0.0
W1K 3JP,56000000.0,54552707.23681831,2.5844513628244385
SE1 0BT,64250000.0,53625062.63388587,16.536867495897482
NW10 6FN,54488984.0,53605708.16767509,1.6210172542855759
EC4A 2DY,71200000.0,53177145.67545195,25.31299764683716
SW1W 9SX,75000000.0,52999904.281525515,29.333460957965983
EC2A 2AZ,64000000.0,52907978.31610922,17.331283881079358
HA9 0DY,55500000.0,52624047.747369364,5.181895950685828
NW2 1LS,55000000.0,52586703.98862593,4.387810929771035
WC2B 5TB,68800000.0,52511087.66913155,23.675744666959957
EC2V 6EN,76000000.0,52491133.5714425,30.932718984944074
SW1Y 6QU,77500000.0,52486058.45164427,32.27605361078159
TW6 2GE,67950000.0,51624722.56106788,24.025426694528505
W1K 5DL,55000000.0,51580235.65800718,6.217753349077853
UB4 9SQ,52245000.0,51565687.15834925,1.3002446964317045
SE1 9RA,59940000.0,51493072.322664596,14.092305100659658
W1S 1EB,53500000.0,51088201.617193475,4.50803436038602
W1S 1EG,53500000.0,51088201.617193475,4.50803436038602
HA2 7JW,53016900.0,51029476.31556657,3.7486606807139395
SW19 4DQ,52758000.0,50953124.58877885,3.4210459289987227
W1S 1HL,70100000.0,50813363.60557574,27.45905402199734
W1B 2HT,55460000.0,50686747.45632554,8.60665803042636
SE1 5HL,57285700.0,50605566.04428441,11.661084626207924
N18 3HA,51490000.0,50298966.40716263,2.3131357406047215
W4 2SX,54300000.0,50020321.39369178,7.8815443946744494
W1S 2TL,60375000.0,50016403.31914911,10.711406847209247
E1 1LA,56580000.0,49990453.88800804,11.646422962163228
W1S 1ED,58638002.0,49962154.66862491,14.795605299401387
W1A 3AE,65455000.0,49478137.92729258,24.408925326877124
W1J 7RZ,70500000.0,49396718.71502538,29.933732319112934
W1D 5DY,70500000.0,49396718.71502538,29.933732319112934
SW1Y 6HD,52750000.0,49357777.85074875,6.430752889575828
SE26 4PR,49894753.0,49158162.08039844,1.476289339685792
UB8 1RA,50750000.0,49142904.2167017,3.166691198617329
SW11 7DS,50500000.0,49083371.82042505,2.805204315990011
SE8 3GN,51307200.0,48851103.721524104,4.78704017852445
W1F 8BD,52650000.0,48490351.354525186,7.900567227872386
N16 7TY,49900000.0,48441575.236892246,2.922694916047604
EN2 6SP,49251712.0,48365055.91561988,1.8002543431995264
W1T 7PJ,56193365.0,48354288.26832946,41.11901829784209
SW1Y 4JU,66416666.666666664,48221078.27135501,35.45639165195
E14 9WT,50800000.0,47881237.98550812,5.745594516716295
E1 8PR,53850000.0,47736501.02623215,11.352830034852076
W1J 7BS,52500000.0,47700608.92213173,9.14169729117765
WC2N 4AZ,55451320.0,47612243.26832946,14.136862263460173
UB4 0RH,50070000.0,47596441.539276674,4.9402006405498895
EC3N 2PX,50232915.0,46901922.3368318,6.631095693268449
EC1V 7RD,51750000.0,46292805.834813245,10.545302734660396
W1S 2GD,51000000.0,46226747.45632554,9.359318713087177
SW1H 9BP,63425590.5,45853170.3550911,47.46241894072871
E1 1RD,51912905.0,45816716.12006686,11.743108731698086
WC2A 1LG,75972945.0,45809536.06886369,39.70282964697013
DA17 6JY,46882500.25,45473265.43294755,4.0547727639824345
EN1 1SW,46100000.0,45174403.197294,2.007802175067255
WC2H 7DH,65336250.0,45040211.5348402,31.063978212951923
SW18 1EW,47000000.0,45017568.85974459,4.217938596288093
E1 7LP,48975000.0,44943940.90885801,49.401032121164356
DA14 5BG,46100000.0,44895314.04082524,2.613201646799908
BR1 2NE,46100000.0,44590152.56636394,3.275157122854793
SW1W 8BT,48333333.333333336,44529783.96119613,8.159242626056624
W1G 6BL,42900000.0,44368445.819558084,2.3970461488397774
E6 6LH,46000000.0,44297800.66647157,3.7004333337574593
E3 3ZD,45735454.0,43972842.679168515,3.853927679020046
SW3 2JD,50000000.0,43840989.54595179,12.318020908096415
SW6 3JD,48000000.0,43839065.33869373,8.668613877721398
SE16 2XU,44445005.25,43641396.511361204,8.217683707014437
W1T 2EU,62000000.0,43465457.59915146,29.894423227175054
W1T 2QA,62000000.0,43465457.59915146,29.894423227175054
W1T 2ET,62000000.0,43465457.59915146,29.894423227175054
W1T 2QB,62000000.0,43465457.59915146,29.894423227175054
NW2 1ES,45795993.0,43370567.568239994,5.2961520711211705
W1U 4FA,42690000.0,43270177.25221149,2.035574013090958
EN1 1TW,43775000.0,43259336.54898958,20.144211318806835
WC2B 4BA,59000000.0,43232049.17639609,26.725340378989685
N1 9SQ,45419867.0,43197410.573941864,4.893137238949066
W1S 2QN,56000000.0,43051368.822359234,23.12255567435851
W1S 2QU,56000000.0,43051368.822359234,23.12255567435851
W1S 2PA,56000000.0,43051368.822359234,23.12255567435851
HA3 8NT,43750000.0,43012793.16340612,3.4988459259320592
W1S 2FA,62450000.0,42724683.63060343,31.585774810883223
EC2R 7HB,6390000.0,42686621.50363917,0.0
E6 6LG,44000000.0,42236411.22320284,4.008156310902635
W1G 0DR,51100000.0,42023167.68508847,15.44423657976234
SW8 5BB,43889999.5,41997360.29818174,4.312552884113664
W1S 3AN,46749999.0,41950607.92213173,10.266077391505974
EC4N 6HL,52500000.0,41909759.5874158,20.171886500160383
NW9 0FH,42800000.0,41854433.43381822,2.209267677994802
SW1P 3QB,50175000.0,41499152.66862491,17.291175548331026
W1S 1TE,51825000.0,41357398.84998044,20.19797616983996
EC2A 4LG,58900000.0,40921701.23240812,30.52342744922221
SW1P 2PA,44649998.0,40760517.520059265,8.711042898458203
EC1Y 8SE,2500000.0,40573271.277147174,0.0
EC1Y 8LX,2500000.0,40573271.277147174,0.0
IG11 7NZ,41750000.0,39960639.42763267,4.285893586508578
SE1 6BD,42857654.5,39850751.592500895,7.182006125418205
NW1 5DZ,46393881.0,39805966.445910655,14.199964331695696
EC4R 1HJ,54897793.0,39729311.590610184,27.63040293694469
IG11 0JS,41330000.0,39649295.03519563,4.066549636594175
HA9 0AA,41075000.0,39422414.95968307,3.9227142500831107
EC2M 4TE,4100000.0,39373735.9616797,0.0
SW19 6AB,40000000.0,39219551.45598029,1.951121360049271
EC1Y 8HQ,46225000.0,39186327.617589906,15.226981898128926
WC2B 6UF,62216706.0,39123550.293605246,37.11729082281333
W2 4DR,45000000.0,38945448.14867838,13.454559669603611
EC1Y 8PU,450000.0,38859587.562197745,0.0
EC1Y 4XY,67403504.0,38818093.4400278,42.40938358334041
RM10 7FN,39500000.0,38708173.25617748,2.0046246679051194
E1 1JG,44100000.0,38676992.48658305,12.297069191421656
SW9 8HH,40000000.0,38325933.879355654,4.185165301610866
SW19 3SE,40250000.0,38305249.96998795,4.831677093197641
W2 4ED,43632089.0,38150303.83562182,12.563655075919428
