postcode,Avg_Price,MAE,Median_Accuracy
SE1 9AN,448500000.0,443547122.45419776,1.1043205230328255
E1 8EP,421364142.0,412423828.61077285,2.1217546767962006
EC2V 7PG,411500000.0,407116373.34388167,1.0652798678294886
W1S 2UD,366180000.0,361360049.95941854,1.3162788903220957
WC1B 4JB,365500000.0,353323513.9157562,3.355996559932642
SW1A 2EU,325169089.0,322638035.267764,0.7783807925961952
SW6 2QH,315000000.0,308283799.2227351,2.1321272308777424
W1S 2UB,305211030.0,300391079.95941854,1.5792188246215915
EC4V 5AJ,302401851.0,297821762.4428848,1.5145702785778212
E16 2QQ,296280000.0,293479223.6581028,0.9453140076607269
W1J 7BT,287340503.5,281149837.0905364,45.56691124282585
WC1N 3PA,286000000.0,274931150.6149516,3.8702270577092293
WC2N 6HT,281206774.0,267048414.12618327,5.034857330220902
E14 5HU,262890000.0,262203044.76828718,0.26130900061349394
SE1 9LS,255000000.0,254034463.18060908,0.3786418899572226
SW1Y 4PD,250100000.0,234536245.7231708,6.2230125057294
EC4V 5AE,238967500.0,228467803.9491747,5.332106735748766
SW7 1AY,210000000.0,202909599.0384346,3.376381410269232
EC1A 7AJ,209550000.0,200902805.3209191,4.126554368447103
W8 5JN,194800000.0,189627610.64814532,2.655230673436691
W1F 8HX,185837186.0,178107318.9895105,4.159483458003663
EC4A 4AB,191200000.0,176088433.92879605,7.903538740169424
NW1 3AN,180000000.0,175736321.5933659,2.368710225907833
W1S 4JX,178000000.0,174218453.61833888,2.124464259360181
SW11 7BW,177445000.0,172753586.0568825,2.6438693359167615
SW3 3AL,186000000.0,171308826.51159856,7.898480370108302
EC2M 4RB,173000000.0,170094423.0286079,1.6795242609202887
E1 8FA,180500000.0,168981445.56073284,6.38147060347211
E1 8QS,185000000.0,168465708.02054298,8.93745512403082
EC1V 9BW,181500000.0,166576811.37245813,8.222142494513434
SW1V 1LH,175000000.0,166220854.95582402,5.016654310957705
E1 1LJ,171030000.0,165175138.6730399,3.423294934783428
W3 6EE,166180000.0,164357605.56373096,1.096638847195237
WC1A 1LW,172500000.0,161431150.61495164,6.416724281187456
W6 7AP,159477751.0,158638089.84603143,0.5265067689401803
SW6 2YA,158100000.0,158206489.8391112,1.0660636154388712
W1S 1HU,165500000.0,157840743.997156,4.62794924643142
HA9 0NT,157100000.0,153953779.26743868,2.0026866534445134
W1S 2UF,156730441.5,152331692.33515352,2.7485435483768583
E16 1AA,150500000.0,147236372.4127417,2.168523313792889
W1S 2UG,149300000.0,147023778.57552508,1.5245957297219945
EC1N 8JS,162287743.0,146835248.25232592,9.521664706171975
WC1V 6NP,154000000.0,146405219.2211578,4.931675830417021
EC3N 2BQ,152706477.6,145576893.94280696,3.473935296485436
EC2A 2BS,153450000.0,140892003.97084266,8.183770628320204
W1K 5JF,146970000.0,140628935.5772815,4.314529783437777
UB11 1FH,143650000.0,140180100.3415961,2.4155236048756734
SW1P 2AW,156500000.0,139457852.3948455,10.88955118540224
EC1Y 1AX,150000000.0,136631929.79409766,8.912046803934885
EC3A 7BD,141063596.0,134576188.10034662,4.598924232481195
EC2V 6DT,140398876.0,133584097.89912905,4.84463993208783
W1S 3ER,141000000.0,133270132.9895105,5.482175184744321
EC4M 7DX,133549187.0,131955047.8858328,1.1936718972068263
E16 4ES,132743018.0,131761323.98163694,0.7395447483068835
E1 8GP,134627111.5,130026986.39064212,4.079080972645485
W1J 9HB,132250000.0,129672672.24138422,1.948830063225543
SW1H 9BT,139480000.0,129382556.64614956,7.23934854735478
SW1A 1LD,145500000.0,128882499.56685336,11.420962497007991
SE1 9LT,136864000.0,127448085.41307905,6.879759898089304
WC2B 6AH,133912398.0,123909499.09642072,7.469733238276618
E14 3BT,125000000.0,123367682.06477779,1.3058543481777747
SW1A 2EJ,127665000.0,121798849.99409209,4.594955552350228
W1S 1DG,134700000.0,121000264.58013678,10.17055339262302
WC2A 1JA,121254435.0,117888788.5182748,2.7756893854853217
W1T 3NG,124910812.0,114229889.65341292,8.550838935053179
W1K 6TF,116242841.0,113966619.57552508,1.9581605240316975
W1B 5SG,115000000.0,112892315.6974019,1.8327689587809601
W1U 7DL,120000000.0,112604240.58852842,6.163132842892978
W1U 7BW,120000000.0,112604240.58852842,6.163132842892978
W1U 7WH,120000000.0,112604240.58852842,6.163132842892978
EC4R 0AT,120000000.0,111807239.13286176,6.827300722615192
WC2N 5HR,125000000.0,110841640.12618326,11.326687899053397
WC2H 9EA,125735586.0,109366752.48427072,13.018457253405785
W1D 3QW,117450000.0,108190091.17203866,7.884128418868741
EC3R 6BR,109000000.0,107334417.91597548,1.5280569578206524
EC1M 4BL,113000000.0,105960757.00085525,6.229418583313944
EC2A 4NW,120000000.0,104561341.61283967,12.865548655966947
NW10 7XT,108000000.0,103748887.57660632,3.9362152068460006
N7 7JR,105800000.0,103248470.13162132,2.411653939866426
EC1V 3PS,102181666.66666667,102406368.5775704,0.8079294314970724
HA9 0NP,105583000.0,102208624.63650648,3.1959457142660455
W6 0PZ,109000000.0,101760011.85961227,6.64219095448415
W14 0AF,106791820.0,100914869.07977968,5.57171196567014
NW1 2PL,105350000.0,99731038.02458148,5.333308909614445
TW14 8HA,101000000.0,99284303.14693438,1.6987097555105208
E14 4HD,99750000.0,99095166.84692256,0.6564743389247525
SW1A 2NS,107400000.0,98830506.62142983,7.9790441141249175
RM9 6RH,98800000.0,97412227.53492942,1.40462800108358
WC2H 8JR,111579102.0,96860372.63714996,13.191295770466084
UB8 1JG,96708651.0,95713789.59942287,1.028720171659856
WC2N 4EJ,108578306.0,95442644.05938764,15.467090205356534
SW1Y 4JY,109250000.0,95040767.60864337,26.021341948152312
SE1 9DY,100000000.0,94987548.28735001,5.012451712649991
E14 9XP,95000000.0,94419649.14287579,0.6108956390781088
EC2M 5NS,97500000.0,93856542.62171409,3.7368793623445242
EC2V 7JU,103050000.0,93802201.88477509,8.974088418461818
SE1 0LL,100000000.0,93478952.20275855,6.521047797241451
WC1B 4NB,102076999.33333333,92445266.70916943,7.8748800100366765
NW1 1AY,108150187.0,92355325.86719075,14.6045620178255
UB6 0GG,93750000.0,91929865.44776423,1.9162362570198113
EC3N 1AH,91964723.0,91384938.83773868,1.7105205412253
WC1B 4AR,94979440.0,90399351.44288482,4.822189472916648
NW1 1DB,95000000.0,89496337.38681825,5.793329066507113
NW1 6JQ,94000000.0,89394815.47255595,4.899132476004311
WC1X 0DG,98100000.0,88729358.98138028,9.552131517451286
W2 6BD,97250000.0,87754997.46587841,10.41083484348976
WC2H 7LA,95370000.0,87528852.43112001,8.221817729768262
WC2N 4AA,96450000.0,87079358.98138028,9.715542787578755
E15 2AL,90674931.0,86799731.72679526,4.273727292061295
TW6 2GW,89000000.0,86716572.85722053,2.337779166468323
NW1 3UP,92000000.0,86506742.97453651,5.970931549416832
EC4N 7BL,97987500.0,86374798.1100198,13.851966478793258
W1F 9US,88500000.0,86223778.57552508,2.5720016095761906
SW17 0NS,86075000.0,85081861.36660148,1.153806138133632
E1 1LD,89709567.5,84733085.38265632,5.584638323831925
WC2N 5SA,92500000.0,84604194.22915888,8.536006238747163
EC2M 7EA,87214881.0,84154866.81895511,3.9661888608013953
W1S 2ER,95086435.0,83867181.41791135,11.799005380829186
KT6 7EQ,83874359.0,82956312.64746311,1.0945494707588637
SE1 8NZ,90926666.66666667,82857634.09845622,9.807025711909887
W1F 0BH,86450000.0,82824530.47369312,4.193718364727445
EC4A 1DR,93200000.0,82461576.5514272,11.521913571430048
EC4A 1EN,93200000.0,82461576.5514272,11.521913571430048
EC3R 8AJ,89939229.0,82177282.92794526,8.630211931275
SW11 1SA,84666666.66666667,81885264.78581433,3.1367821389615074
UB7 0JU,82574870.0,81831423.86620477,0.9003297659387499
EC2A 2EA,87470826.0,81470370.53913125,6.8599506089821745
SE1 0NA,87100000.0,81210077.7646061,6.762252853494715
HA9 0SQ,82000000.0,81144753.67898847,1.0429833183067387
EC1N 6SA,90000000.0,80740091.17203866,10.288787586623712
EC1N 8SJ,90000000.0,80740091.17203866,10.288787586623712
EC1N 8QN,90000000.0,80740091.17203866,10.288787586623712
W2 1PG,85000000.0,80507893.39417517,5.284831300970382
W1W 5EE,82361684.0,80102336.36352398,2.7432023323807044
W1S 1DQ,95500000.0,79909598.46536234,16.325027784960895
RM1 1LN,80224037.5,79904932.68523958,12.687190157901831
WC2H 7AD,96450000.0,79407852.39484549,17.669411721259223
