year,month,actual_price,predicted_price
2018,1,829964.281939394,735040.4339683717
2018,2,865172.0740836012,760844.4540921916
2018,3,793280.3399956785,767311.7773348093
2018,4,830372.3418240556,819822.2229176798
2018,5,828304.2261434874,803582.3053486842
2018,6,836773.6887510008,829218.2534977923
2018,7,849632.2906008328,881398.2377848753
2018,8,758941.7186915887,710539.8921157815
2018,9,867888.5758147333,812667.3845701104
2018,10,718825.1637240812,762291.3244929943
2018,11,748145.5329244998,765900.9291966737
2018,12,817506.3923932124,829665.8119051602
2019,1,861364.8797608216,735040.4339683717
2019,2,715623.0194451999,760844.4540921915
2019,3,1151025.7314680638,767311.7773348093
2019,4,886265.6462722342,819822.2229176798
2019,5,760289.9785061156,803582.3053486842
2019,6,789678.7765498951,829218.2534977923
2019,7,766422.3804368471,881398.2377848753
2019,8,797455.1775096526,710539.8921157815
2019,9,783272.1325472213,812667.3845701104
2019,10,692907.6953255426,762291.3244929943
2019,11,776581.8849649985,765900.9291966737
2019,12,930201.8558619143,829665.8119051602
2020,1,810556.9286320126,735040.4339683717
2020,2,756823.0824243927,760844.4540921915
2020,3,838230.6143091207,767311.7773348093
2020,4,904022.3082860386,819822.2229176798
2020,5,753951.4944487477,803582.3053486842
2020,6,893493.1032034633,829218.2534977924
2020,7,782323.1708066581,881398.2377848753
2020,8,742958.0087045571,710539.8921157815
2020,9,1191588.7523374194,812667.3845701104
2020,10,837008.0249476291,762291.3244929943
2020,11,782927.055771096,765900.9291966737
2020,12,822506.208090561,829665.8119051601
2021,1,761349.103524694,735040.4339683717
2021,2,693389.2696600495,760844.4540921915
2021,3,846581.7908952959,767311.7773348093
2021,4,657634.9353274789,819822.2229176798
2021,5,778595.5373771893,803582.3053486842
2021,6,715020.917109988,829218.2534977923
2021,7,959114.7583088401,881398.2377848753
2021,8,816159.3817317846,710539.8921157815
2021,9,790375.3576407507,812667.3845701104
2021,10,982450.4587661315,762291.3244929943
2021,11,880063.235059761,765900.9291966737
2021,12,934097.0443253273,829665.8119051602
2022,1,932427.7114466382,735040.4339683717
2022,2,769046.7629397266,760844.4540921915
2022,3,848491.0407356322,767311.7773348093
2022,4,933167.5470019768,819822.2229176798
2022,5,848147.5796151406,803582.3053486842
2022,6,866487.2861132511,829218.2534977923
2022,7,865748.2166577397,881398.2377848753
2022,8,894364.921235935,710539.8921157815
2022,9,853240.3035871285,812667.3845701104
2022,10,776563.785966215,762291.3244929943
2022,11,780333.0489535942,765900.9291966737
2022,12,796406.2313919052,829665.8119051602
