year,month,actual_price,predicted_price
2018,1,829964.281939394,743672.2250276589
2018,2,865172.0740836012,783283.4512214843
2018,3,793280.3399956785,738249.722040997
2018,4,830372.3418240556,757573.0943129912
2018,5,828304.2261434874,783061.18898648
2018,6,836773.6887510008,873540.9009484606
2018,7,849632.2906008328,844775.3305630169
2018,8,758941.7186915887,708945.6017097423
2018,9,867888.5758147333,800063.4616271135
2018,10,718825.1637240812,793311.1088686001
2018,11,748145.5329244998,792467.4370221867
2018,12,817506.3923932124,795694.718765843
2019,1,861364.8797608216,730366.3986398097
2019,2,715623.0194451999,720570.3248916235
2019,3,1151025.7314680638,725901.1960079563
2019,4,886265.6462722342,742538.3093590671
2019,5,760289.9785061156,784996.2544738934
2019,6,789678.7765498951,784031.5405638642
2019,7,766422.3804368471,949215.7912306584
2019,8,797455.1775096526,727657.634544548
2019,9,783272.1325472213,780827.1571862396
2019,10,692907.6953255426,770598.9131232323
2019,11,776581.8849649985,808236.570785266
2019,12,930201.8558619143,904161.4490374441
2020,1,810556.9286320126,760601.24736168
2020,2,756823.0824243927,759106.0438603607
2020,3,838230.6143091207,781834.4512477468
2020,4,904022.3082860386,807962.4869638645
2020,5,753951.4944487477,806535.692748049
2020,6,893493.1032034633,772465.0607119523
2020,7,782323.1708066581,849834.6566220409
2020,8,742958.0087045571,714625.798862406
2020,9,1191588.7523374194,789320.8928363896
2020,10,837008.0249476291,765305.3635026207
2020,11,782927.055771096,724836.6028030753
2020,12,822506.208090561,757354.1472709643
2021,1,761349.103524694,690121.5551222551
2021,2,693389.2696600495,678234.423205551
2021,3,846581.7908952959,719534.6119703125
2021,4,657634.9353274789,697573.1321916458
2021,5,778595.5373771893,795515.8378828253
2021,6,715020.917109988,769755.0445445752
2021,7,959114.7583088401,842505.1349950996
2021,8,816159.3817317846,708510.1005124113
2021,9,790375.3576407507,744745.8857647738
2021,10,982450.4587661315,778957.0997053338
2021,11,880063.235059761,817237.1771755544
2021,12,934097.0443253273,833526.5710647516
2022,1,932427.7114466382,725849.1749317268
2022,2,769046.7629397266,735600.3647498306
2022,3,848491.0407356322,748237.190467158
2022,4,933167.5470019768,792556.3873937955
2022,5,848147.5796151406,793887.9254606584
2022,6,866487.2861132511,793748.674291406
2022,7,865748.2166577397,850004.8480714767
2022,8,894364.921235935,745896.353400622
2022,9,853240.3035871285,787984.9532145514
2022,10,776563.785966215,768460.2361045167
2022,11,780333.0489535942,790979.5636569785
2022,12,796406.2313919052,791714.1958694175
