year,month,actual_price,predicted_price
2018,1,829964.281939394,743730.8566129606
2018,2,865172.0740836012,757815.7208568496
2018,3,793280.3399956785,738268.150588622
2018,4,830372.3418240556,763408.9214948274
2018,5,828304.2261434874,791173.4686790025
2018,6,836773.6887510008,859919.7908942341
2018,7,849632.2906008328,792785.7457474367
2018,8,758941.7186915887,714602.6890954319
2018,9,867888.5758147333,793274.4929447311
2018,10,718825.1637240812,804729.1403054363
2018,11,748145.5329244998,818350.4884599637
2018,12,817506.3923932124,817443.5643784401
2019,1,861364.8797608216,729025.5763702655
2019,2,715623.0194451999,711333.7157571815
2019,3,1151025.7314680638,725215.7012107125
2019,4,886265.6462722342,738838.4746510631
2019,5,760289.9785061156,790662.541522986
2019,6,789678.7765498951,777012.8568947172
2019,7,766422.3804368471,887585.5786179252
2019,8,797455.1775096526,727069.3222906952
2019,9,783272.1325472213,770862.6038713927
2019,10,692907.6953255426,779522.5407704931
2019,11,776581.8849649985,807993.531848636
2019,12,930201.8558619143,883113.3605996653
2020,1,810556.9286320126,752175.0522786842
2020,2,756823.0824243927,741088.640736521
2020,3,838230.6143091207,768569.9117584961
2020,4,904022.3082860386,794259.876245333
2020,5,753951.4944487477,799321.6751876768
2020,6,893493.1032034633,752047.3946630142
2020,7,782323.1708066581,790267.0125851945
2020,8,742958.0087045571,705928.800776736
2020,9,1191588.7523374194,770973.6240626514
2020,10,837008.0249476291,757460.581155727
2020,11,782927.055771096,724151.8129109237
2020,12,822506.208090561,758989.7497340275
2021,1,761349.103524694,698021.8036400916
2021,2,693389.2696600495,680399.8463074113
2021,3,846581.7908952959,727649.4977726218
2021,4,657634.9353274789,704175.1935378502
2021,5,778595.5373771893,808314.8289617371
2021,6,715020.917109988,779377.1346112554
2021,7,959114.7583088401,835856.4072621568
2021,8,816159.3817317846,714589.5878604267
2021,9,790375.3576407507,741331.9683487118
2021,10,982450.4587661315,776786.9644559679
2021,11,880063.235059761,826362.9171698384
2021,12,934097.0443253273,836218.633297195
2022,1,932427.7114466382,737181.6255351657
2022,2,769046.7629397266,733862.2047604087
2022,3,848491.0407356322,754602.0929304151
2022,4,933167.5470019768,801064.1603852494
2022,5,848147.5796151406,805860.4348341983
2022,6,866487.2861132511,798909.9404263415
2022,7,865748.2166577397,829983.0692001643
2022,8,894364.921235935,752112.5315214198
2022,9,853240.3035871285,782669.7152719666
2022,10,776563.785966215,768479.6855842816
2022,11,780333.0489535942,793880.2376530416
2022,12,796406.2313919052,795069.5795542075
