year,month,actual_price,predicted_price
2018,1,829964.281939394,747294.6632617167
2018,2,865172.0740836012,788567.7494507045
2018,3,793280.3399956785,759591.282913598
2018,4,830372.3418240556,785506.5966095955
2018,5,828304.2261434874,794437.1493056768
2018,6,836773.6887510008,888887.8177160913
2018,7,849632.2906008328,838433.3014352254
2018,8,758941.7186915887,722137.9189911518
2018,9,867888.5758147333,797454.6345227123
2018,10,718825.1637240812,798953.7145714296
2018,11,748145.5329244998,801739.222118756
2018,12,817506.3923932124,813107.8357718156
2019,1,861364.8797608216,734387.0198490169
2019,2,715623.0194451999,719890.3556439268
2019,3,1151025.7314680638,735851.6174230753
2019,4,886265.6462722342,755209.3850293871
2019,5,760289.9785061156,792133.3576609787
2019,6,789678.7765498951,788522.6125319233
2019,7,766422.3804368471,938985.663260686
2019,8,797455.1775096526,734097.4185853163
2019,9,783272.1325472213,775074.5684539574
2019,10,692907.6953255426,777603.2920270705
2019,11,776581.8849649985,791476.7012332049
2019,12,930201.8558619143,876028.3550613166
2020,1,810556.9286320126,764395.683160788
2020,2,756823.0824243927,755722.5054448658
2020,3,838230.6143091207,786861.3441971771
2020,4,904022.3082860386,822024.3016721328
2020,5,753951.4944487477,808344.0404394681
2020,6,893493.1032034633,770427.9522451296
2020,7,782323.1708066581,838992.8474926468
2020,8,742958.0087045571,720339.5180082059
2020,9,1191588.7523374194,787075.4259753324
2020,10,837008.0249476291,769233.4004932663
2020,11,782927.055771096,726640.8225347222
2020,12,822506.208090561,768551.8835120404
2021,1,761349.103524694,696343.0413697124
2021,2,693389.2696600495,682290.941260165
2021,3,846581.7908952959,729445.758048758
2021,4,657634.9353274789,712752.0799238163
2021,5,778595.5373771893,802720.2060614028
2021,6,715020.917109988,777642.192543214
2021,7,959114.7583088401,849216.4313372433
2021,8,816159.3817317846,713944.1364327531
2021,9,790375.3576407507,743242.9854596355
2021,10,982450.4587661315,780736.5499171047
2021,11,880063.235059761,825165.1745618015
2021,12,934097.0443253273,843528.0548528223
2022,1,932427.7114466382,732707.5020308935
2022,2,769046.7629397266,734084.0446227513
2022,3,848491.0407356322,756385.3930284135
2022,4,933167.5470019768,808773.1660845262
2022,5,848147.5796151406,799900.4619340351
2022,6,866487.2861132511,796614.0930911086
2022,7,865748.2166577397,844080.3052825343
2022,8,894364.921235935,753788.2495726934
2022,9,853240.3035871285,785118.5436338538
2022,10,776563.785966215,778085.4508765244
2022,11,780333.0489535942,792055.8366021826
2022,12,796406.2313919052,799940.5929577312
