year,month,actual_price,predicted_price
2018,1,829964.281939394,741922.7644899547
2018,2,865172.0740836012,764587.1262380109
2018,3,793280.3399956785,737326.2065019272
2018,4,830372.3418240556,759339.2335780665
2018,5,828304.2261434874,779888.0824421684
2018,6,836773.6887510008,871896.7195885943
2018,7,849632.2906008328,809399.9667968327
2018,8,758941.7186915887,708885.5069859056
2018,9,867888.5758147333,791824.7528338856
2018,10,718825.1637240812,799735.4041532442
2018,11,748145.5329244998,816251.9559630745
2018,12,817506.3923932124,809817.326289264
2019,1,861364.8797608216,726662.4312613673
2019,2,715623.0194451999,711187.0916003479
2019,3,1151025.7314680638,722435.4342701863
2019,4,886265.6462722342,744327.2722283178
2019,5,760289.9785061156,784277.791534916
2019,6,789678.7765498951,783388.4396028172
2019,7,766422.3804368471,895740.9720662567
2019,8,797455.1775096526,725093.937397152
2019,9,783272.1325472213,769102.1965519013
2019,10,692907.6953255426,776988.3910965085
2019,11,776581.8849649985,809996.7672172561
2019,12,930201.8558619143,875927.4660037721
2020,1,810556.9286320126,749499.4380326291
2020,2,756823.0824243927,741198.6277004704
2020,3,838230.6143091207,767320.1763908701
2020,4,904022.3082860386,795908.845314071
2020,5,753951.4944487477,792270.9733034259
2020,6,893493.1032034633,761709.855734351
2020,7,782323.1708066581,809267.2944586382
2020,8,742958.0087045571,707223.3010804659
2020,9,1191588.7523374194,769323.2825943973
2020,10,837008.0249476291,755587.3297797974
2020,11,782927.055771096,723223.5744646214
2020,12,822506.208090561,754842.6664397813
2021,1,761349.103524694,692903.6005306912
2021,2,693389.2696600495,683572.2195765473
2021,3,846581.7908952959,725818.1521188547
2021,4,657634.9353274789,705402.0011329043
2021,5,778595.5373771893,802250.5492621239
2021,6,715020.917109988,793463.939357807
2021,7,959114.7583088401,843051.1531870513
2021,8,816159.3817317846,713209.5134036585
2021,9,790375.3576407507,740148.5242732938
2021,10,982450.4587661315,776311.7275228979
2021,11,880063.235059761,822686.6801332696
2021,12,934097.0443253273,835070.8122451181
2022,1,932427.7114466382,732674.1617528766
2022,2,769046.7629397266,738175.9030947085
2022,3,848491.0407356322,753987.1353404676
2022,4,933167.5470019768,801591.1489105856
2022,5,848147.5796151406,797793.1692319342
2022,6,866487.2861132511,806783.5359093768
2022,7,865748.2166577397,840023.426672392
2022,8,894364.921235935,748872.65088432
2022,9,853240.3035871285,780878.6398283788
2022,10,776563.785966215,762746.585207881
2022,11,780333.0489535942,792125.3278854728
2022,12,796406.2313919052,792210.8314988081
