year,month,actual_price,predicted_price
2018,1,829964.281939394,729948.5287642328
2018,2,865172.0740836012,782126.4664755067
2018,3,793280.3399956785,726931.372242423
2018,4,830372.3418240556,752953.3367131115
2018,5,828304.2261434874,775864.6819848642
2018,6,836773.6887510008,830583.4708019863
2018,7,849632.2906008328,800198.4655593132
2018,8,758941.7186915887,710151.0277457276
2018,9,867888.5758147333,780471.3729253073
2018,10,718825.1637240812,794601.6404184059
2018,11,748145.5329244998,793674.3788434034
2018,12,817506.3923932124,783147.4206278559
2019,1,861364.8797608216,717099.5772629675
2019,2,715623.0194451999,707047.7493044641
2019,3,1151025.7314680638,706926.0890279935
2019,4,886265.6462722342,725351.8985301935
2019,5,760289.9785061156,772298.1165117263
2019,6,789678.7765498951,764747.7931793901
2019,7,766422.3804368471,896859.4153507462
2019,8,797455.1775096526,721684.7666826308
2019,9,783272.1325472213,759744.0861444686
2019,10,692907.6953255426,768677.9927149644
2019,11,776581.8849649985,806408.4590831475
2019,12,930201.8558619143,866667.076638141
2020,1,810556.9286320126,747371.2137232493
2020,2,756823.0824243927,746330.9957523046
2020,3,838230.6143091207,759143.140834987
2020,4,904022.3082860386,788244.9248512362
2020,5,753951.4944487477,791879.3347239507
2020,6,893493.1032034633,752959.045892027
2020,7,782323.1708066581,809315.9671578006
2020,8,742958.0087045571,708338.5628724116
2020,9,1191588.7523374194,765045.0149780356
2020,10,837008.0249476291,760420.1122785942
2020,11,782927.055771096,721189.7295010226
2020,12,822506.208090561,743489.346771816
2021,1,761349.103524694,694239.0889626939
2021,2,693389.2696600495,681373.1767633101
2021,3,846581.7908952959,719157.9488334309
2021,4,657634.9353274789,700996.9821484888
2021,5,778595.5373771893,800398.1417710172
2021,6,715020.917109988,772935.0567991413
2021,7,959114.7583088401,832158.4904706458
2021,8,816159.3817317846,718526.5192724207
2021,9,790375.3576407507,744045.417089101
2021,10,982450.4587661315,782375.1208636602
2021,11,880063.235059761,832407.375200776
2021,12,934097.0443253273,835764.5861710651
2022,1,932427.7114466382,732905.2008580824
2022,2,769046.7629397266,739930.643702967
2022,3,848491.0407356322,749186.9700319013
2022,4,933167.5470019768,799325.1664675799
2022,5,848147.5796151406,798941.7305528326
2022,6,866487.2861132511,795944.7549266401
2022,7,865748.2166577397,834641.8185369829
2022,8,894364.921235935,757656.3124991556
2022,9,853240.3035871285,785154.9142694396
2022,10,776563.785966215,775916.6553197075
2022,11,780333.0489535942,798880.9281499274
2022,12,796406.2313919052,793649.8410517396
