year,month,actual_price,predicted_price
2018,1,829964.281939394,730612.460911884
2018,2,865172.0740836012,779426.0146456446
2018,3,793280.3399956785,717251.8586621555
2018,4,830372.3418240556,740222.5241934046
2018,5,828304.2261434874,762587.2282782308
2018,6,836773.6887510008,831700.1053823419
2018,7,849632.2906008328,806560.5789037254
2018,8,758941.7186915887,704203.8228995373
2018,9,867888.5758147333,786554.5728242701
2018,10,718825.1637240812,791341.2470760628
2018,11,748145.5329244998,787794.0433516969
2018,12,817506.3923932124,790024.268079743
2019,1,861364.8797608216,717300.2938412076
2019,2,715623.0194451999,713546.7066505926
2019,3,1151025.7314680638,706594.3912451423
2019,4,886265.6462722342,725013.6750166289
2019,5,760289.9785061156,766189.7049235415
2019,6,789678.7765498951,766061.2268139211
2019,7,766422.3804368471,905883.6463447792
2019,8,797455.1775096526,722222.199826978
2019,9,783272.1325472213,764795.141915814
2019,10,692907.6953255426,767705.5446753767
2019,11,776581.8849649985,804915.776237902
2019,12,930201.8558619143,881121.1467380929
2020,1,810556.9286320126,747801.6597750993
2020,2,756823.0824243927,754410.8599395325
2020,3,838230.6143091207,757640.6984815139
2020,4,904022.3082860386,786797.8823556612
2020,5,753951.4944487477,786914.7626040993
2020,6,893493.1032034633,755067.875442369
2020,7,782323.1708066581,812182.7098087939
2020,8,742958.0087045571,709842.5629344872
2020,9,1191588.7523374194,772914.0283818921
2020,10,837008.0249476291,760047.7711075891
2020,11,782927.055771096,721255.4933121129
2020,12,822506.208090561,756807.383825683
2021,1,761349.103524694,693908.4594639408
2021,2,693389.2696600495,685643.6458835382
2021,3,846581.7908952959,718831.3376662516
2021,4,657634.9353274789,699444.2058393557
2021,5,778595.5373771893,794350.7480304546
2021,6,715020.917109988,773130.1015191429
2021,7,959114.7583088401,837502.7258804198
2021,8,816159.3817317846,720124.7267122495
2021,9,790375.3576407507,749934.777803637
2021,10,982450.4587661315,787581.9366209141
2021,11,880063.235059761,830496.2877907285
2021,12,934097.0443253273,848484.7870588263
2022,1,932427.7114466382,732171.3071811913
2022,2,769046.7629397266,746183.5892365039
2022,3,848491.0407356322,748155.9267816676
2022,4,933167.5470019768,796581.2971295046
2022,5,848147.5796151406,791969.498245167
2022,6,866487.2861132511,797361.3321401399
2022,7,865748.2166577397,842528.6646191323
2022,8,894364.921235935,755894.8488430554
2022,9,853240.3035871285,791978.5413906119
2022,10,776563.785966215,772110.8366635845
2022,11,780333.0489535942,796132.7581153628
2022,12,796406.2313919052,803159.5171122212
