year,month,actual_price,predicted_price
2018,1,829964.281939394,741813.071013647
2018,2,865172.0740836012,775359.9989911504
2018,3,793280.3399956785,738665.4087648629
2018,4,830372.3418240556,759375.8741822959
2018,5,828304.2261434874,780730.8027811699
2018,6,836773.6887510008,864770.9342610649
2018,7,849632.2906008328,839233.3304802813
2018,8,758941.7186915887,716368.3415774266
2018,9,867888.5758147333,795499.8607114524
2018,10,718825.1637240812,805325.4315990623
2018,11,748145.5329244998,803534.0013751435
2018,12,817506.3923932124,813334.4473000369
2019,1,861364.8797608216,727366.9546896649
2019,2,715623.0194451999,713801.2355451342
2019,3,1151025.7314680638,728504.0772860384
2019,4,886265.6462722342,739978.5653831868
2019,5,760289.9785061156,786008.9556073572
2019,6,789678.7765498951,783897.7832959268
2019,7,766422.3804368471,934129.5849237065
2019,8,797455.1775096526,733237.8131867871
2019,9,783272.1325472213,772036.5800751514
2019,10,692907.6953255426,776302.0074572745
2019,11,776581.8849649985,801706.5383703668
2019,12,930201.8558619143,902744.5225790015
2020,1,810556.9286320126,758553.2935362809
2020,2,756823.0824243927,754443.1737239948
2020,3,838230.6143091207,782932.9384939802
2020,4,904022.3082860386,807438.0605585631
2020,5,753951.4944487477,802464.8592227252
2020,6,893493.1032034633,771121.895057089
2020,7,782323.1708066581,842729.4838912236
2020,8,742958.0087045571,719711.1050436241
2020,9,1191588.7523374194,781319.2864064007
2020,10,837008.0249476291,764901.8108939033
2020,11,782927.055771096,722252.372407551
2020,12,822506.208090561,760978.7957030649
2021,1,761349.103524694,688107.3309588742
2021,2,693389.2696600495,674858.8756735201
2021,3,846581.7908952959,725414.7150855425
2021,4,657634.9353274789,697673.6193235915
2021,5,778595.5373771893,794892.5001911275
2021,6,715020.917109988,776944.7887183597
2021,7,959114.7583088401,843797.4518959234
2021,8,816159.3817317846,713489.6752615607
2021,9,790375.3576407507,739209.1647251319
2021,10,982450.4587661315,780957.250179582
2021,11,880063.235059761,817639.6783786052
2021,12,934097.0443253273,840586.7061215566
2022,1,932427.7114466382,726569.6476329553
2022,2,769046.7629397266,728532.7592269538
2022,3,848491.0407356322,750147.5446912952
2022,4,933167.5470019768,793652.3793678014
2022,5,848147.5796151406,793721.5771802138
2022,6,866487.2861132511,795738.3878036476
2022,7,865748.2166577397,842306.9436000132
2022,8,894364.921235935,749322.0274333487
2022,9,853240.3035871285,779213.2467746197
2022,10,776563.785966215,769344.9834445103
2022,11,780333.0489535942,788128.6006940029
2022,12,796406.2313919052,794171.8814413872
