year,month,actual_price,predicted_price
2018,1,829964.281939394,742511.3278091974
2018,2,865172.0740836012,807365.4137959608
2018,3,793280.3399956785,742356.5239129977
2018,4,830372.3418240556,765971.8939060256
2018,5,828304.2261434874,794054.0851688735
2018,6,836773.6887510008,861261.9078881022
2018,7,849632.2906008328,837760.7563033247
2018,8,758941.7186915887,721727.0747997346
2018,9,867888.5758147333,795503.4295243266
2018,10,718825.1637240812,793923.4617229633
2018,11,748145.5329244998,795706.0836185798
2018,12,817506.3923932124,798969.969163681
2019,1,861364.8797608216,729044.6737219858
2019,2,715623.0194451999,730689.2824946959
2019,3,1151025.7314680638,725684.2728662859
2019,4,886265.6462722342,742821.2989681768
2019,5,760289.9785061156,790311.637314791
2019,6,789678.7765498951,781720.5397484463
2019,7,766422.3804368471,944448.6664648103
2019,8,797455.1775096526,733985.7065346927
2019,9,783272.1325472213,775089.6926028983
2019,10,692907.6953255426,766988.3868767067
2019,11,776581.8849649985,806122.9865034969
2019,12,930201.8558619143,891872.3453514572
2020,1,810556.9286320126,759382.2658588906
2020,2,756823.0824243927,776155.3090338641
2020,3,838230.6143091207,780872.4566113352
2020,4,904022.3082860386,809339.6245183516
2020,5,753951.4944487477,810502.9978012954
2020,6,893493.1032034633,769325.7127111006
2020,7,782323.1708066581,844577.2465793564
2020,8,742958.0087045571,721579.3280572563
2020,9,1191588.7523374194,780332.753852264
2020,10,837008.0249476291,763427.4387888607
2020,11,782927.055771096,725459.7228409523
2020,12,822506.208090561,763034.5882277946
2021,1,761349.103524694,688764.9749613794
2021,2,693389.2696600495,687002.4461646297
2021,3,846581.7908952959,719164.9742912829
2021,4,657634.9353274789,699223.2408750269
2021,5,778595.5373771893,802629.2019361905
2021,6,715020.917109988,767344.0790858835
2021,7,959114.7583088401,838798.8740866609
2021,8,816159.3817317846,715696.2048849295
2021,9,790375.3576407507,742038.0066705195
2021,10,982450.4587661315,778260.193228735
2021,11,880063.235059761,820935.2946791629
2021,12,934097.0443253273,838741.8521520937
2022,1,932427.7114466382,723770.3015980042
2022,2,769046.7629397266,748263.387783388
2022,3,848491.0407356322,748913.4871045551
2022,4,933167.5470019768,794443.967490179
2022,5,848147.5796151406,798677.9807785638
2022,6,866487.2861132511,793571.525050039
2022,7,865748.2166577397,845281.5928334026
2022,8,894364.921235935,752618.2274175145
2022,9,853240.3035871285,781856.5798777471
2022,10,776563.785966215,765775.3955052623
2022,11,780333.0489535942,791045.3395092111
2022,12,796406.2313919052,795173.43591527
