year,month,actual_price,predicted_price
2018,1,829964.281939394,746831.7943805846
2018,2,865172.0740836012,816717.5458855925
2018,3,793280.3399956785,754738.1715863978
2018,4,830372.3418240556,777260.3884611948
2018,5,828304.2261434874,803844.8822051939
2018,6,836773.6887510008,859501.8001329667
2018,7,849632.2906008328,801081.558144573
2018,8,758941.7186915887,742865.2404080593
2018,9,867888.5758147333,786016.2080575147
2018,10,718825.1637240812,777979.375332314
2018,11,748145.5329244998,786279.4465371822
2018,12,817506.3923932124,794335.2444267825
2019,1,861364.8797608216,730734.051925688
2019,2,715623.0194451999,737189.5068007234
2019,3,1151025.7314680638,727962.2192303907
2019,4,886265.6462722342,750258.8808087445
2019,5,760289.9785061156,788432.2673513417
2019,6,789678.7765498951,790447.9895369576
2019,7,766422.3804368471,884312.9584019334
2019,8,797455.1775096526,745633.6411751219
2019,9,783272.1325472213,772242.4888766707
2019,10,692907.6953255426,776145.6602515257
2019,11,776581.8849649985,802252.0029132519
2019,12,930201.8558619143,855039.023386753
2020,1,810556.9286320126,754611.2918939755
2020,2,756823.0824243927,775706.5019723601
2020,3,838230.6143091207,768272.7994058386
2020,4,904022.3082860386,799668.1566534049
2020,5,753951.4944487477,801777.8688806961
2020,6,893493.1032034633,785787.7793746587
2020,7,782323.1708066581,804496.3609031632
2020,8,742958.0087045571,737723.5417972767
2020,9,1191588.7523374194,778322.100841059
2020,10,837008.0249476291,759586.9378163756
2020,11,782927.055771096,744859.1227857958
2020,12,822506.208090561,777392.6300620391
2021,1,761349.103524694,705155.4422509467
2021,2,693389.2696600495,704480.5150833552
2021,3,846581.7908952959,727116.1456561363
2021,4,657634.9353274789,717137.6572495347
2021,5,778595.5373771893,800115.925840052
2021,6,715020.917109988,775076.4699666853
2021,7,959114.7583088401,824367.409220144
2021,8,816159.3817317846,730896.8955352773
2021,9,790375.3576407507,749573.1991584619
2021,10,982450.4587661315,772140.5228309412
2021,11,880063.235059761,811262.6769360326
2021,12,934097.0443253273,815108.5870626951
2022,1,932427.7114466382,735420.6871531022
2022,2,769046.7629397266,743695.4892694145
2022,3,848491.0407356322,744917.837189557
2022,4,933167.5470019768,794414.7499692374
2022,5,848147.5796151406,797658.3074195965
2022,6,866487.2861132511,796550.8038877862
2022,7,865748.2166577397,818565.3512992164
2022,8,894364.921235935,761200.3341298663
2022,9,853240.3035871285,781871.4038569932
2022,10,776563.785966215,772679.1386163451
2022,11,780333.0489535942,784416.9708014521
2022,12,796406.2313919052,793488.9853531697
