year,month,actual_price,predicted_price
2018,1,829964.281939394,746500.4362473394
2018,2,865172.0740836012,805316.220261814
2018,3,793280.3399956785,746174.4148649634
2018,4,830372.3418240556,754668.5336403955
2018,5,828304.2261434874,782304.3407595991
2018,6,836773.6887510008,847004.1105696607
2018,7,849632.2906008328,801402.692956171
2018,8,758941.7186915887,729903.7659364557
2018,9,867888.5758147333,789467.3184445736
2018,10,718825.1637240812,789230.8534875852
2018,11,748145.5329244998,786832.3080019124
2018,12,817506.3923932124,805439.2974958874
2019,1,861364.8797608216,730216.3103092817
2019,2,715623.0194451999,737934.751311364
2019,3,1151025.7314680638,734066.570764371
2019,4,886265.6462722342,743904.0610928397
2019,5,760289.9785061156,777279.4456733527
2019,6,789678.7765498951,787950.8076670563
2019,7,766422.3804368471,873856.0098137193
2019,8,797455.1775096526,739552.7502727995
2019,9,783272.1325472213,772282.4650037066
2019,10,692907.6953255426,784142.3689022897
2019,11,776581.8849649985,798461.1751074541
2019,12,930201.8558619143,856660.5440515697
2020,1,810556.9286320126,757722.6860026737
2020,2,756823.0824243927,775437.9007051901
2020,3,838230.6143091207,773950.7759970287
2020,4,904022.3082860386,790449.4470960767
2020,5,753951.4944487477,788930.6206581565
2020,6,893493.1032034633,781639.662401345
2020,7,782323.1708066581,803003.5412564916
2020,8,742958.0087045571,731111.9844334348
2020,9,1191588.7523374194,778649.5921769203
2020,10,837008.0249476291,763835.7876617822
2020,11,782927.055771096,741591.5473841287
2020,12,822506.208090561,774728.0675450508
2021,1,761349.103524694,706139.1228264631
2021,2,693389.2696600495,704744.1472400237
2021,3,846581.7908952959,734273.8796971308
2021,4,657634.9353274789,710410.7705149197
2021,5,778595.5373771893,785312.0368957266
2021,6,715020.917109988,769421.6366880911
2021,7,959114.7583088401,828684.7616893575
2021,8,816159.3817317846,726604.1928709733
2021,9,790375.3576407507,749445.0721881341
2021,10,982450.4587661315,770249.1820164982
2021,11,880063.235059761,818872.5239980288
2021,12,934097.0443253273,837540.0374183753
2022,1,932427.7114466382,737371.3005948496
2022,2,769046.7629397266,746519.301740805
2022,3,848491.0407356322,752724.3095790591
2022,4,933167.5470019768,785536.7852178251
2022,5,848147.5796151406,787709.3074650809
2022,6,866487.2861132511,795750.5246306274
2022,7,865748.2166577397,825786.859784592
2022,8,894364.921235935,756768.3489111454
2022,9,853240.3035871285,783327.0498657833
2022,10,776563.785966215,761061.7993143217
2022,11,780333.0489535942,787868.8580997151
2022,12,796406.2313919052,806093.7417375393
