year,month,actual_price,predicted_price
2018,1,829964.281939394,748664.9283279057
2018,2,865172.0740836012,820189.4200404197
2018,3,793280.3399956785,762326.2062128156
2018,4,830372.3418240556,776587.8510741856
2018,5,828304.2261434874,799278.1404515291
2018,6,836773.6887510008,878552.2234371749
2018,7,849632.2906008328,822524.2951686953
2018,8,758941.7186915887,745482.8044801102
2018,9,867888.5758147333,787546.0246312631
2018,10,718825.1637240812,777389.2403261062
2018,11,748145.5329244998,777672.7874365997
2018,12,817506.3923932124,781441.8737794615
2019,1,861364.8797608216,730578.1769608341
2019,2,715623.0194451999,738062.4211320574
2019,3,1151025.7314680638,730614.3972585225
2019,4,886265.6462722342,745225.6002773126
2019,5,760289.9785061156,777593.1700777157
2019,6,789678.7765498951,799674.5951579269
2019,7,766422.3804368471,902003.8817226281
2019,8,797455.1775096526,744235.0097920902
2019,9,783272.1325472213,771838.775895692
2019,10,692907.6953255426,774828.4186249198
2019,11,776581.8849649985,789363.545659706
2019,12,930201.8558619143,828558.2134361479
2020,1,810556.9286320126,756895.298192579
2020,2,756823.0824243927,779206.4833107921
2020,3,838230.6143091207,770519.3287255128
2020,4,904022.3082860386,793121.3692758208
2020,5,753951.4944487477,790436.8238324829
2020,6,893493.1032034633,794232.463440489
2020,7,782323.1708066581,827019.0205601866
2020,8,742958.0087045571,735350.1975692156
2020,9,1191588.7523374194,775537.9031755521
2020,10,837008.0249476291,757711.7390373893
2020,11,782927.055771096,736476.4177494571
2020,12,822506.208090561,761564.1057511044
2021,1,761349.103524694,705717.4793042067
2021,2,693389.2696600495,705538.1602379105
2021,3,846581.7908952959,728843.3227288589
2021,4,657634.9353274789,710904.7453225233
2021,5,778595.5373771893,782836.9255847951
2021,6,715020.917109988,780636.0288525305
2021,7,959114.7583088401,828361.8603331244
2021,8,816159.3817317846,730370.8660181018
2021,9,790375.3576407507,748892.2553076717
2021,10,982450.4587661315,775511.9141878099
2021,11,880063.235059761,813145.3153683573
2021,12,934097.0443253273,813215.2170435943
2022,1,932427.7114466382,735662.3899566482
2022,2,769046.7629397266,744163.4409042159
2022,3,848491.0407356322,747286.9226895082
2022,4,933167.5470019768,785449.8643075285
2022,5,848147.5796151406,786412.1476896222
2022,6,866487.2861132511,803838.7958846824
2022,7,865748.2166577397,824686.2321082527
2022,8,894364.921235935,759449.3186836704
2022,9,853240.3035871285,779549.0142907882
2022,10,776563.785966215,779475.0328093093
2022,11,780333.0489535942,784394.4074209565
2022,12,796406.2313919052,787097.855308486
