year,month,actual_price,predicted_price
2018,1,829964.281939394,749205.8793936718
2018,2,865172.0740836012,806545.8600595609
2018,3,793280.3399956785,744789.1599433247
2018,4,830372.3418240556,758368.074750909
2018,5,828304.2261434874,785651.1212819704
2018,6,836773.6887510008,858973.8506883528
2018,7,849632.2906008328,820513.7109237001
2018,8,758941.7186915887,734261.0830206312
2018,9,867888.5758147333,790204.8765489853
2018,10,718825.1637240812,777057.3086581607
2018,11,748145.5329244998,787077.8807264587
2018,12,817506.3923932124,796938.685970341
2019,1,861364.8797608216,730625.1045382866
2019,2,715623.0194451999,738688.3548032605
2019,3,1151025.7314680638,729060.9894491658
2019,4,886265.6462722342,744150.9763210187
2019,5,760289.9785061156,780323.9422552875
2019,6,789678.7765498951,796404.1308815237
2019,7,766422.3804368471,908216.506381905
2019,8,797455.1775096526,744413.8761338982
2019,9,783272.1325472213,775223.8355253695
2019,10,692907.6953255426,771723.8104491116
2019,11,776581.8849649985,798980.1528461119
2019,12,930201.8558619143,852602.8968657998
2020,1,810556.9286320126,757293.2278322306
2020,2,756823.0824243927,777562.0232356659
2020,3,838230.6143091207,769484.3412718889
2020,4,904022.3082860386,792432.1021369
2020,5,753951.4944487477,792628.9948385977
2020,6,893493.1032034633,792592.5236458043
2020,7,782323.1708066581,823957.463267592
2020,8,742958.0087045571,734305.8903712381
2020,9,1191588.7523374194,781058.3550028326
2020,10,837008.0249476291,754926.67236786
2020,11,782927.055771096,741681.517881629
2020,12,822506.208090561,773082.3421066301
2021,1,761349.103524694,705981.9004616281
2021,2,693389.2696600495,705687.1378395499
2021,3,846581.7908952959,727215.2222893452
2021,4,657634.9353274789,712926.0536792784
2021,5,778595.5373771893,788851.5633375762
2021,6,715020.917109988,778989.9715158574
2021,7,959114.7583088401,826966.3811599221
2021,8,816159.3817317846,728601.4043754638
2021,9,790375.3576407507,748405.1233463829
2021,10,982450.4587661315,772094.3829931332
2021,11,880063.235059761,814609.3732859921
2021,12,934097.0443253273,825896.7591302489
2022,1,932427.7114466382,735566.4645019659
2022,2,769046.7629397266,743553.3917886611
2022,3,848491.0407356322,745388.2582500874
2022,4,933167.5470019768,783439.2021445505
2022,5,848147.5796151406,789684.4062617902
2022,6,866487.2861132511,801556.8902187219
2022,7,865748.2166577397,823980.9723876566
2022,8,894364.921235935,757999.8161432826
2022,9,853240.3035871285,781522.7317072052
2022,10,776563.785966215,765440.2953352785
2022,11,780333.0489535942,788611.6996934428
2022,12,796406.2313919052,797857.728803158
