year,month,actual_price,predicted_price
2018,1,829964.281939394,713690.0178182549
2018,2,865172.0740836012,736953.7801638931
2018,3,793280.3399956785,745603.8270473911
2018,4,830372.3418240556,793960.2980301173
2018,5,828304.2261434874,777164.4899263859
2018,6,836773.6887510008,802942.5956361024
2018,7,849632.2906008328,850874.7876080796
2018,8,758941.7186915887,695696.4126853403
2018,9,867888.5758147333,793449.1724856553
2018,10,718825.1637240812,747406.2342562799
2018,11,748145.5329244998,750453.262551043
2018,12,817506.3923932124,815170.6381078674
2019,1,861364.8797608216,713690.0178182549
2019,2,715623.0194451999,736953.7801638931
2019,3,1151025.7314680638,745603.8270473911
2019,4,886265.6462722342,793960.2980301174
2019,5,760289.9785061156,777164.4899263859
2019,6,789678.7765498951,802942.5956361024
2019,7,766422.3804368471,850874.7876080796
2019,8,797455.1775096526,695696.4126853403
2019,9,783272.1325472213,793449.1724856553
2019,10,692907.6953255426,747406.2342562799
2019,11,776581.8849649985,750453.262551043
2019,12,930201.8558619143,815170.6381078674
2020,1,810556.9286320126,713690.0178182549
2020,2,756823.0824243927,736953.7801638931
2020,3,838230.6143091207,745603.8270473911
2020,4,904022.3082860386,793960.2980301173
2020,5,753951.4944487477,777164.4899263859
2020,6,893493.1032034633,802942.5956361024
2020,7,782323.1708066581,850874.7876080796
2020,8,742958.0087045571,695696.4126853403
2020,9,1191588.7523374194,793449.1724856553
2020,10,837008.0249476291,747406.2342562799
2020,11,782927.055771096,750453.262551043
2020,12,822506.208090561,815170.6381078673
2021,1,761349.103524694,728730.4107277011
2021,2,693389.2696600495,755992.0691724165
2021,3,846581.7908952959,763840.8265213415
2021,4,657634.9353274789,812773.9553801295
2021,5,778595.5373771893,796315.8393420735
2021,6,715020.917109988,823146.9191192051
2021,7,959114.7583088401,875924.1768478823
2021,8,816159.3817317846,709499.570465438
2021,9,790375.3576407507,805091.2935814146
2021,10,982450.4587661315,759164.3285725663
2021,11,880063.235059761,762575.9710989895
2021,12,934097.0443253273,825750.8922982913
2022,1,932427.7114466382,728730.4107277011
2022,2,769046.7629397266,755992.0691724165
2022,3,848491.0407356322,763840.8265213415
2022,4,933167.5470019768,812773.9553801296
2022,5,848147.5796151406,796315.8393420735
2022,6,866487.2861132511,823146.9191192051
2022,7,865748.2166577397,875924.1768478823
2022,8,894364.921235935,709499.570465438
2022,9,853240.3035871285,805091.2935814146
2022,10,776563.785966215,759164.3285725663
2022,11,780333.0489535942,762575.9710989895
2022,12,796406.2313919052,825750.8922982913
