Combo,Features,LGBM_MAE,LGBM_Acc,XGB_MAE,XGB_Acc,RF_MAE,RF_Acc
08A_LatLon_OSM_News_Trends,8,547950.9371061772,63.13445918538121,562762.0625,62.08599672011662,550709.036045237,65.50037461451112
08B_LatLon_OSM_News_Rates,8,548821.3729798292,63.0278546268445,560711.8125,62.47198388501742,554039.6271248844,65.4742028926716
08C_LatLon_OSM_Trends_Rates,8,550647.5340522667,62.47323482962642,560003.8125,62.83847395833334,583503.236876544,63.99190297672088
08D_LatLon_News_Trends_Rates,5,548004.0545101844,63.112608220965264,558798.75,62.44413461538462,552656.5263734737,65.36424345887775
08E_LatLon_OSM_News,7,548821.3729798292,63.0278546268445,560711.8125,62.47198388501742,548932.2818656841,65.72827338547668
08F_LatLon_OSM_Trends,7,550647.5340522667,62.47323482962642,560003.8125,62.83847395833334,584246.2534752963,63.99347837322157
08G_LatLon_OSM_Rates,7,551013.4985302954,62.82047086140427,562477.3125,62.554934895833334,583096.8129214691,64.2039095158342
08H_LatLon_News_Trends,4,548004.0545101844,63.112608220965264,558798.75,62.44413461538462,559559.86890361,65.14170879627376
08I_LatLon_News_Rates,4,548141.8749195139,63.06863284624417,559385.875,62.34541414141414,555219.5414649438,65.33105020762571
08J_LatLon_Trends_Rates,4,549827.116565804,62.772846087077724,556419.4375,62.55913636363636,583322.679766964,63.967432890675816
08K_LatLon_OSM,6,551013.4985302954,62.82047086140427,562477.3125,62.554934895833334,582525.5102831125,64.2039095158342
08L_LatLon_News,3,548141.8749195139,63.06863284624417,559385.875,62.34541414141414,560064.945733633,65.19864064809276
08M_LatLon_Trends,3,549827.116565804,62.772846087077724,556419.4375,62.55913636363636,583481.6060848095,63.969333219908854
08N_LatLon_Rates,3,551241.9552298848,62.93874512656046,561846.25,62.55850609756097,582841.2260895552,64.20131513454493
08O_OSM_News_Trends_Rates,7,550122.167160908,58.66689514395316,557847.9375,61.94,540573.485967222,66.34909527452663
08P_OSM_News_Trends,6,550122.167160908,58.66689514395316,557847.9375,61.94,537786.1065670353,66.42076518992839
08Q_OSM_News_Rates,6,548367.8348933094,58.78444434461645,557747.5625,61.76409007352941,539703.8172408013,66.44076680112818
08R_OSM_Trends_Rates,6,549435.0667202998,58.413194436893875,556985.8125,62.69725625073491,581250.3235539682,64.00332317907423
08S_OSM_News,5,548367.8348933094,58.78444434461645,557747.5625,61.76409007352941,549091.885218755,66.14808428913187
08T_OSM_Trends,5,549435.0667202998,58.413194436893875,556985.8125,62.69725625073491,582017.4289701354,64.00332317907424
08U_OSM_Rates,5,548644.347639125,58.58774752942074,556137.25,62.5297653256705,584048.1660098945,64.2023240365426
08V_News_Trends_Rates,3,594913.4701676602,32.67528894323354,602906.125,30.51854591836735,546041.6768255219,46.40266930379959
08W_News_Trends,2,594913.4701676602,32.67528894323354,602906.125,30.51854591836735,548513.8815532932,45.66238135024153
08X_News_Rates,2,594913.4701676602,32.67528894323354,602916.375,30.491166666666672,550242.9738908777,45.29202101742968
08Y_Trends_Rates,2,603266.1031894584,30.3990457007111,603301.5,30.39748724489796,598434.2138852164,31.732471393932016
08Z_OSM_Only,4,548644.347639125,58.58774752942074,556137.25,62.5297653256705,583564.2566310345,64.20119558578688
08AA_News_Only,1,594913.4701676602,32.67528894323354,602916.375,30.491166666666672,545830.2078179301,47.13793501867488
08AB_Trends_Only,1,603266.1031894584,30.3990457007111,603301.5,30.39748724489796,598299.886841808,31.732471393931974
08AC_Rates_Only,1,603266.1031894584,30.3990457007111,603301.5,30.39748724489796,600143.9882668131,31.32262858565879
08AD_LatLon_Only,2,551241.9552298848,62.93874512656046,561846.25,62.55850609756097,582809.1073146883,64.20286954973454
